id,user,created_at,text
1004563180750868481,VideoGameBANG,2018-06-07 03:18:20,b'We are live on #twitch for the weekly podcast. With #E3 starting next week we are digging into rumors and what we e\xe2\x80\xa6 https://t.co/1wl9ktHeTB'
1004562810079080449,zoezatara,2018-06-07 03:16:52,"b'I want Fable 4, don\xe2\x80\x99t forget to add another swinger achievement thx! #fable4 #microsoft #e3'"
1004562072602988545,richyg84,2018-06-07 03:13:56,"b""#E3 starts so early, it has it's own pre-order window. https://t.co/2xkEPURYJQ"""
1004561781543464961,fineeegan,2018-06-07 03:12:47,b'@ea better announce #skate4 at #e3 this year or else'
1004561777038954502,FGCPodcast,2018-06-07 03:12:46,b'We\xe2\x80\x99re getting very excited for @e3 !! They hype is real #e3 #gamers'
1004561562009563137,BeaulieuGunnar,2018-06-07 03:11:54,"b""E3 in 6 days I'm so hype #e3 #E32018 #FortniteE3"""
1004560986823524353,Chris_Bodas,2018-06-07 03:09:37,b'If this doesn\xe2\x80\x99t get you hyped nothing will #E3 https://t.co/GqS36hLuDT'
1004560870427381760,DanielleBisutti,2018-06-07 03:09:10,b'@corybarlog @thedcd @E3 Yeah Cory and I were majorly stoned &amp; he was going on about how it sucks that Kratos killed\xe2\x80\xa6 https://t.co/sqZy8Fjwh8'
1004560634162438144,NTDOPowerCouple,2018-06-07 03:08:13,b'TMW #E3 leaks...itself? #Inception :) https://t.co/xySdSYQkLy'
1004560159799169024,madisonxell,2018-06-07 03:06:20,b'i haven\xe2\x80\x99t really heard anything about #E3 this year.. did they announce Skate 4?'
1004560138987065345,Greenskull,2018-06-07 03:06:15,"b""AND SPLINTER CELL!\n\nI couldn't see much on my dark monitor but it sounded sweet #E3 https://t.co/89m9LYfmnX"""
1004560125703540736,KojiPro2015_EN,2018-06-07 03:06:12,"b""Wow, humbled by the high expectations for #DEATHSTRANDING at the #E3... Now we're hoping we didn't elevate the hype too much \xf0\x9f\x98\x85"""
1004560095164809216,whatsAmada,2018-06-07 03:06:05,"b'I\xe2\x80\x99ve got a couple more Game Passes to give away. I\xe2\x80\x99ll be doing more during the week of #E3, so make sure you are fo\xe2\x80\xa6 https://t.co/bPf8T10hP6'"
1004559895843278849,bot_crime,2018-06-07 03:05:17,b'JOHNNY JUMPED ON A HOLOLENS #E3 #XboxE3'
1004559852918591488,ZachWeekes,2018-06-07 03:05:07,b'Hey @Borderlands you got a trailer for 3 in store for us at #E3 ? https://t.co/G7552byjou'
1004562996251758592,AutumnRE1107,2018-06-07 03:17:36,b'Question of the Day: Who is your favorite Pokemon Gym Leader? #pokemon #gym #qotd'
1004562479056384000,CellPhone_Roxy,2018-06-07 03:15:33,b'#Pokemon GO: Fans Created Hilarious Memes https://t.co/TGXDaKDi2g https://t.co/wvpval9gZd'
1004562292623773698,eliteriptide,2018-06-07 03:14:49,"b'Man, Raichu never gets enough credit. People love Pikachu cause he\xe2\x80\x99s the face of the franchise but poor Raichu is a\xe2\x80\xa6 https://t.co/YJK8TZ0nfG'"
1004561758940549120,SucScrib,2018-06-07 03:12:41,"b""Don't know if I posted this finished terrarium, but it's one of my favorites! #pokemon #pkmn #pokemongo #pikachu\xe2\x80\xa6 https://t.co/fTRpxqknjk"""
1004560959783006208,bpdnintendo,2018-06-07 03:09:31,"b'Charizard #Pokemon Card Collection! Base Set, Hyper Rare, Secret Rare PSA!!! LK #eBay #Nintendo\n\xf0\x9f\x94\x97\xe2\x80\xa6 https://t.co/oHPpGSfVkg'"
1004560691703971840,bpdpokemon,2018-06-07 03:08:27,"b'Charizard #Pokemon Card Collection! Base Set, Hyper Rare, Secret Rare PSA!!! LK #eBay\n\xf0\x9f\x94\x97 https://t.co/WdJndJshqW https://t.co/GWK0H22qcP'"
1004560517804052480,grrchomp,2018-06-07 03:07:45,b'Do y\xe2\x80\x99all remember this scene in the lion king?? \xf0\x9f\xa4\xa3 \xe2\x80\x9cSimba...Remember!!\xe2\x80\x9d #Disney #Pokemon #PokemonTCG #pokemoncards\xe2\x80\xa6 https://t.co/Kv5inILIgk'
1004560458483986432,Fraggle_Drums,2018-06-07 03:07:31,b'Ever just wake up one time and you were a #Corsola ? #UltimatePok\xc3\xa8monQuest #Pokemon https://t.co/YfMJ0FqMdH'
1004560169236385794,DimmyTriggers,2018-06-07 03:06:22,b'We have come this far So far on our pokemon fire red nuzlocke. #PokemonFireRedNuzlocke #Nuzlocke #Pokemon #GBA\xe2\x80\xa6 https://t.co/oENN6a5t3B'
1004560096842665985,d8ingfreak,2018-06-07 03:06:05,b'Awesome #combatpower on #Pok\xc3\xa9mon caught in #Islington #castform https://t.co/tUN6lOrPgt'
1004559998930780160,Khetix,2018-06-07 03:05:42,"b'Here\xe2\x80\x99s another #Pokemon thought: I didn\xe2\x80\x99t think Lillie could be more annoying than the Sun&amp;Moon games, yet here she\xe2\x80\xa6 https://t.co/knwDNHLvp4'"
1004559734119288833,treeckobot,2018-06-07 03:04:39,b'#Pokemon Yellow Version'
1004559559946637312,Khetix,2018-06-07 03:03:57,b'Here\xe2\x80\x99s a thought about the Sun &amp; Moon anime: Samson Oak and his face morphing (imitating Pok\xc3\xa9mon) is monstrous. #Pok\xc3\xa9mon'
1004559273202876416,beastacademy,2018-06-07 03:02:49,"b""Highly doubt anyone will see this poll, but... Which Pokemon game should I preorder? I'm only getting one, and I ca\xe2\x80\xa6 https://t.co/fbhFeBpad0"""
1004558663372165120,MartinezVelo,2018-06-07 03:00:23,b'@Junichi_Masuda what do you think about this? #Pokemon #PokemonWeddings'
